iter	NDCG:type=Base_SumError	NDCG:type=Base_SumWeight
109	2775.731113	2963
110	2775.731113	2963
111	2775.731113	2963
112	2775.731113	2963
113	2775.731113	2963
114	2775.731113	2963
115	2775.731113	2963
116	2775.731113	2963
117	2775.731113	2963
118	2775.731113	2963
119	2775.731113	2963
120	2775.731113	2963
121	2775.731113	2963
122	2775.731113	2963
123	2775.731113	2963
124	2775.731113	2963
125	2775.731113	2963
126	2775.731113	2963
127	2775.731113	2963
128	2775.731113	2963
129	2775.731113	2963
130	2775.731113	2963
131	2775.731113	2963
132	2775.731113	2963
133	2775.731113	2963
134	2775.731113	2963
135	2775.731113	2963
136	2775.731113	2963
137	2775.731113	2963
138	2775.731113	2963
139	2775.731113	2963
140	2775.731113	2963
141	2775.731113	2963
142	2775.731113	2963
143	2775.731113	2963
144	2775.731113	2963
145	2775.731113	2963
146	2775.731113	2963
147	2775.731113	2963
148	2775.731113	2963
149	2775.731113	2963
150	2775.731113	2963
151	2775.731113	2963
152	2775.731113	2963
153	2775.731113	2963
154	2775.731113	2963
155	2775.731113	2963
156	2775.731113	2963
157	2775.731113	2963
158	2775.731113	2963
159	2775.731113	2963
160	2775.731113	2963
161	2775.731113	2963
162	2775.731113	2963
163	2775.731113	2963
164	2775.731113	2963
165	2775.731113	2963
166	2775.731113	2963
167	2775.731113	2963
168	2775.731113	2963
169	2775.731113	2963
170	2775.731113	2963
171	2775.731113	2963
172	2775.731113	2963
173	2775.731113	2963
174	2775.731113	2963
175	2775.731113	2963
176	2775.731113	2963
177	2775.731113	2963
178	2775.731113	2963
179	2775.731113	2963
180	2775.731113	2963
181	2775.731113	2963
182	2775.731113	2963
183	2775.731113	2963
184	2775.731113	2963
185	2775.731113	2963
186	2775.731113	2963
187	2775.731113	2963
188	2775.731113	2963
189	2775.731113	2963
190	2775.731113	2963
191	2775.731113	2963
192	2775.731113	2963
193	2775.731113	2963
194	2775.731113	2963
195	2775.731113	2963
196	2775.731113	2963
197	2775.731113	2963
198	2775.731113	2963
199	2775.731113	2963
200	2775.731113	2963
201	2775.731113	2963
202	2775.731113	2963
203	2775.731113	2963
204	2775.731113	2963
205	2775.731113	2963
206	2775.731113	2963
207	2775.731113	2963
208	2775.731113	2963
209	2775.731113	2963
210	2775.731113	2963
211	2775.731113	2963
212	2775.731113	2963
213	2775.731113	2963
214	2775.731113	2963
215	2775.731113	2963
216	2775.731113	2963
217	2775.731113	2963
218	2775.731113	2963
219	2775.731113	2963
220	2775.731113	2963
221	2775.731113	2963
222	2775.731113	2963
223	2775.731113	2963
224	2775.731113	2963
225	2775.731113	2963
226	2775.731113	2963
227	2775.731113	2963
228	2775.731113	2963
229	2775.731113	2963
230	2775.731113	2963
231	2775.731113	2963
232	2775.731113	2963
233	2775.731113	2963
234	2775.731113	2963
235	2775.731113	2963
236	2775.731113	2963
237	2775.731113	2963
238	2775.731113	2963
239	2775.731113	2963
240	2775.731113	2963
241	2775.731113	2963
242	2775.731113	2963
243	2775.731113	2963
244	2775.731113	2963
245	2775.731113	2963
246	2775.731113	2963
247	2775.731113	2963
248	2775.731113	2963
249	2775.731113	2963
250	2775.731113	2963
251	2775.731113	2963
252	2775.731113	2963
253	2775.731113	2963
254	2775.731113	2963
255	2775.731113	2963
256	2775.731113	2963
257	2775.731113	2963
258	2775.731113	2963
259	2775.731113	2963
260	2775.731113	2963
261	2775.731113	2963
262	2775.731113	2963
263	2775.731113	2963
264	2775.731113	2963
265	2775.731113	2963
266	2775.731113	2963
267	2775.731113	2963
268	2775.731113	2963
269	2775.731113	2963
270	2775.731113	2963
271	2775.731113	2963
272	2775.731113	2963
273	2775.731113	2963
274	2775.731113	2963
275	2775.731113	2963
276	2775.731113	2963
277	2775.731113	2963
278	2775.731113	2963
279	2775.731113	2963
280	2775.731113	2963
281	2775.731113	2963
282	2775.731113	2963
283	2775.731113	2963
284	2775.731113	2963
285	2775.731113	2963
286	2775.731113	2963
287	2775.731113	2963
288	2775.731113	2963
289	2775.731113	2963
290	2775.731113	2963
291	2775.731113	2963
292	2775.731113	2963
293	2775.731113	2963
294	2775.731113	2963
295	2775.731113	2963
296	2775.731113	2963
297	2775.731113	2963
298	2775.731113	2963
299	2775.731113	2963
300	2775.731113	2963
301	2775.731113	2963
302	2775.731113	2963
303	2775.731113	2963
304	2775.731113	2963
305	2775.731113	2963
306	2775.731113	2963
307	2775.731113	2963
308	2775.731113	2963
309	2775.731113	2963
310	2775.731113	2963
311	2775.731113	2963
312	2775.731113	2963
313	2775.731113	2963
314	2775.731113	2963
315	2775.731113	2963
316	2775.731113	2963
317	2775.731113	2963
318	2775.731113	2963
319	2775.731113	2963
320	2775.731113	2963
321	2775.731113	2963
322	2775.731113	2963
323	2775.731113	2963
324	2775.731113	2963
325	2775.731113	2963
326	2775.731113	2963
327	2775.731113	2963
328	2775.731113	2963
329	2775.731113	2963
330	2775.731113	2963
331	2775.731113	2963
332	2775.731113	2963
333	2775.731113	2963
334	2775.731113	2963
335	2775.731113	2963
336	2775.731113	2963
337	2775.731113	2963
338	2775.731113	2963
339	2775.731113	2963
340	2775.731113	2963
341	2775.731113	2963
342	2775.731113	2963
343	2775.731113	2963
344	2775.731113	2963
345	2775.731113	2963
346	2775.731113	2963
347	2775.731113	2963
348	2775.731113	2963
349	2775.731113	2963
350	2775.731113	2963
351	2775.731113	2963
352	2775.731113	2963
353	2775.731113	2963
354	2775.731113	2963
355	2775.731113	2963
356	2775.731113	2963
357	2775.731113	2963
358	2775.731113	2963
359	2775.731113	2963
360	2775.731113	2963
361	2775.731113	2963
362	2775.731113	2963
363	2775.731113	2963
364	2775.731113	2963
365	2775.731113	2963
366	2775.731113	2963
367	2775.731113	2963
368	2775.731113	2963
369	2775.731113	2963
370	2775.731113	2963
371	2775.731113	2963
372	2775.731113	2963
373	2775.731113	2963
374	2775.731113	2963
375	2775.731113	2963
376	2775.731113	2963
377	2775.731113	2963
378	2775.731113	2963
379	2775.731113	2963
380	2775.731113	2963
381	2775.731113	2963
382	2775.731113	2963
383	2775.731113	2963
384	2775.731113	2963
385	2775.731113	2963
386	2775.731113	2963
387	2775.731113	2963
388	2775.731113	2963
389	2775.731113	2963
390	2775.731113	2963
391	2775.731113	2963
392	2775.731113	2963
393	2775.731113	2963
394	2775.731113	2963
395	2775.731113	2963
396	2775.731113	2963
397	2775.731113	2963
398	2775.731113	2963
399	2775.731113	2963
400	2775.731113	2963
401	2775.731113	2963
402	2775.731113	2963
403	2775.731113	2963
404	2775.731113	2963
405	2775.731113	2963
406	2775.731113	2963
407	2775.731113	2963
408	2775.731113	2963
409	2775.731113	2963
410	2775.731113	2963
411	2775.731113	2963
412	2775.731113	2963
413	2775.731113	2963
414	2775.731113	2963
415	2775.731113	2963
416	2775.731113	2963
417	2775.731113	2963
418	2775.731113	2963
419	2775.731113	2963
420	2775.731113	2963
421	2775.731113	2963
422	2775.731113	2963
423	2775.731113	2963
424	2775.731113	2963
425	2775.731113	2963
426	2775.731113	2963
427	2775.731113	2963
428	2775.731113	2963
429	2775.731113	2963
430	2775.731113	2963
431	2775.731113	2963
432	2775.731113	2963
433	2775.731113	2963
434	2775.731113	2963
435	2775.731113	2963
436	2775.731113	2963
437	2775.731113	2963
438	2775.731113	2963
439	2775.731113	2963
440	2775.731113	2963
441	2775.731113	2963
442	2775.731113	2963
443	2775.731113	2963
444	2775.731113	2963
445	2775.731113	2963
446	2775.731113	2963
447	2775.731113	2963
448	2775.731113	2963
449	2775.731113	2963
450	2775.731113	2963
451	2775.731113	2963
452	2775.731113	2963
453	2775.731113	2963
454	2775.731113	2963
455	2775.731113	2963
456	2775.731113	2963
457	2775.731113	2963
458	2775.731113	2963
459	2775.731113	2963
460	2775.731113	2963
461	2775.731113	2963
462	2775.731113	2963
463	2775.731113	2963
464	2775.731113	2963
465	2775.731113	2963
466	2775.731113	2963
467	2775.731113	2963
468	2775.731113	2963
469	2775.731113	2963
470	2775.731113	2963
471	2775.731113	2963
472	2775.731113	2963
473	2775.731113	2963
474	2775.731113	2963
475	2775.731113	2963
476	2775.731113	2963
477	2775.731113	2963
478	2775.731113	2963
479	2775.731113	2963
480	2775.731113	2963
481	2775.731113	2963
482	2775.731113	2963
483	2775.731113	2963
484	2775.731113	2963
485	2775.731113	2963
486	2775.731113	2963
487	2775.731113	2963
488	2775.731113	2963
489	2775.731113	2963
490	2775.731113	2963
491	2775.731113	2963
492	2775.731113	2963
493	2775.731113	2963
494	2775.731113	2963
495	2775.731113	2963
496	2775.731113	2963
497	2775.731113	2963
498	2775.731113	2963
499	2775.731113	2963
500	2775.731113	2963
501	2775.731113	2963
502	2775.731113	2963
503	2775.731113	2963
504	2775.731113	2963
505	2775.731113	2963
506	2775.731113	2963
507	2775.731113	2963
508	2775.731113	2963
509	2775.731113	2963
510	2775.731113	2963
511	2775.731113	2963
512	2775.731113	2963
513	2775.731113	2963
514	2775.731113	2963
515	2775.731113	2963
516	2775.731113	2963
517	2775.731113	2963
518	2775.731113	2963
519	2775.731113	2963
520	2775.731113	2963
521	2775.731113	2963
522	2775.731113	2963
523	2775.731113	2963
524	2775.731113	2963
525	2775.731113	2963
526	2775.731113	2963
527	2775.731113	2963
528	2775.731113	2963
529	2775.731113	2963
530	2775.731113	2963
531	2775.731113	2963
532	2775.731113	2963
533	2775.731113	2963
534	2775.731113	2963
535	2775.731113	2963
536	2775.731113	2963
537	2775.731113	2963
538	2775.731113	2963
539	2775.731113	2963
540	2775.731113	2963
541	2775.731113	2963
542	2775.731113	2963
543	2775.731113	2963
544	2775.731113	2963
545	2775.731113	2963
546	2775.731113	2963
547	2775.731113	2963
548	2775.731113	2963
549	2775.731113	2963
550	2775.731113	2963
551	2775.731113	2963
552	2775.731113	2963
553	2775.731113	2963
554	2775.731113	2963
555	2775.731113	2963
556	2775.731113	2963
557	2775.731113	2963
558	2776.03482	2963
559	2776.03482	2963
560	2775.665749	2963
561	2775.296679	2963
562	2775.296679	2963
563	2775.296679	2963
564	2775.296679	2963
565	2775.296679	2963
566	2775.296679	2963
567	2775.296679	2963
568	2775.296679	2963
569	2775.296679	2963
570	2775.296679	2963
571	2775.296679	2963
572	2775.296679	2963
573	2775.296679	2963
574	2775.296679	2963
575	2775.296679	2963
576	2775.296679	2963
577	2775.296679	2963
578	2775.296679	2963
579	2775.296679	2963
580	2775.296679	2963
581	2775.296679	2963
582	2775.296679	2963
583	2775.296679	2963
584	2775.296679	2963
585	2775.296679	2963
586	2775.296679	2963
587	2775.296679	2963
588	2775.296679	2963
589	2775.296679	2963
590	2775.296679	2963
591	2775.296679	2963
592	2775.296679	2963
593	2775.296679	2963
594	2775.296679	2963
595	2775.296679	2963
596	2775.296679	2963
597	2775.296679	2963
598	2775.296679	2963
599	2775.296679	2963
600	2775.296679	2963
601	2775.296679	2963
602	2775.296679	2963
603	2775.296679	2963
604	2775.296679	2963
605	2775.296679	2963
606	2775.296679	2963
607	2775.296679	2963
608	2775.296679	2963
609	2775.296679	2963
610	2775.296679	2963
611	2775.296679	2963
612	2775.296679	2963
613	2775.296679	2963
614	2775.296679	2963
615	2775.296679	2963
616	2775.296679	2963
617	2775.296679	2963
618	2775.296679	2963
619	2775.296679	2963
620	2775.296679	2963
621	2775.296679	2963
622	2775.296679	2963
623	2775.296679	2963
624	2775.296679	2963
625	2775.296679	2963
626	2775.296679	2963
627	2775.296679	2963
628	2775.296679	2963
629	2775.296679	2963
630	2775.296679	2963
631	2775.296679	2963
632	2775.296679	2963
633	2775.296679	2963
634	2775.296679	2963
635	2775.296679	2963
636	2775.296679	2963
637	2775.296679	2963
638	2775.296679	2963
639	2775.296679	2963
640	2775.296679	2963
641	2775.296679	2963
642	2775.296679	2963
643	2775.296679	2963
644	2775.296679	2963
645	2775.296679	2963
646	2775.296679	2963
647	2775.296679	2963
648	2775.296679	2963
649	2775.296679	2963
650	2775.296679	2963
651	2775.296679	2963
652	2775.296679	2963
653	2775.296679	2963
654	2775.296679	2963
655	2775.296679	2963
656	2775.296679	2963
657	2775.296679	2963
658	2775.296679	2963
659	2775.296679	2963
660	2775.296679	2963
661	2775.296679	2963
662	2775.296679	2963
663	2775.296679	2963
664	2775.296679	2963
665	2775.296679	2963
666	2775.296679	2963
667	2775.296679	2963
668	2775.296679	2963
669	2775.296679	2963
670	2775.296679	2963
671	2775.296679	2963
672	2775.296679	2963
673	2775.296679	2963
674	2775.296679	2963
675	2775.296679	2963
676	2775.296679	2963
677	2775.296679	2963
678	2775.296679	2963
679	2775.296679	2963
680	2775.296679	2963
681	2775.296679	2963
682	2775.296679	2963
683	2775.296679	2963
684	2775.296679	2963
685	2775.296679	2963
686	2775.296679	2963
687	2775.296679	2963
688	2775.296679	2963
689	2775.296679	2963
690	2775.296679	2963
691	2775.296679	2963
692	2775.296679	2963
693	2775.296679	2963
694	2775.296679	2963
695	2775.296679	2963
696	2775.296679	2963
697	2775.296679	2963
698	2775.296679	2963
699	2775.296679	2963
700	2775.296679	2963
701	2775.296679	2963
702	2775.296679	2963
703	2775.296679	2963
704	2775.296679	2963
705	2775.296679	2963
706	2775.296679	2963
707	2775.296679	2963
708	2775.296679	2963
709	2775.296679	2963
710	2775.296679	2963
711	2775.296679	2963
712	2775.296679	2963
713	2775.296679	2963
714	2775.296679	2963
715	2775.296679	2963
716	2775.296679	2963
717	2775.296679	2963
718	2775.296679	2963
719	2775.296679	2963
720	2775.296679	2963
721	2775.296679	2963
722	2775.296679	2963
723	2775.296679	2963
724	2775.296679	2963
725	2775.296679	2963
726	2775.296679	2963
727	2775.296679	2963
728	2775.296679	2963
729	2775.296679	2963
730	2775.296679	2963
731	2775.296679	2963
732	2775.296679	2963
733	2775.296679	2963
734	2775.296679	2963
735	2775.296679	2963
736	2775.296679	2963
737	2775.296679	2963
738	2775.296679	2963
739	2775.296679	2963
740	2775.296679	2963
741	2775.296679	2963
742	2775.296679	2963
743	2775.296679	2963
744	2775.296679	2963
745	2775.296679	2963
746	2775.296679	2963
747	2775.296679	2963
748	2775.296679	2963
749	2775.296679	2963
750	2775.296679	2963
751	2775.296679	2963
752	2775.296679	2963
753	2775.296679	2963
754	2775.296679	2963
755	2775.296679	2963
756	2775.296679	2963
757	2775.296679	2963
758	2775.296679	2963
759	2775.296679	2963
760	2775.296679	2963
761	2775.296679	2963
762	2775.296679	2963
763	2775.296679	2963
764	2775.296679	2963
765	2775.296679	2963
766	2775.296679	2963
767	2775.296679	2963
768	2775.296679	2963
769	2775.296679	2963
770	2775.296679	2963
771	2775.296679	2963
772	2775.296679	2963
773	2775.296679	2963
774	2775.296679	2963
775	2775.296679	2963
776	2775.665749	2963
777	2775.665749	2963
778	2775.665749	2963
779	2775.665749	2963
780	2775.665749	2963
781	2775.665749	2963
782	2775.362042	2963
783	2775.362042	2963
784	2775.362042	2963
785	2775.362042	2963
786	2775.362042	2963
787	2775.362042	2963
788	2775.362042	2963
789	2775.362042	2963
790	2775.362042	2963
791	2775.362042	2963
792	2775.362042	2963
793	2775.362042	2963
794	2775.362042	2963
795	2775.362042	2963
796	2775.362042	2963
797	2775.362042	2963
798	2775.362042	2963
799	2775.362042	2963
800	2775.362042	2963
801	2775.665749	2963
802	2775.665749	2963
803	2775.362042	2963
804	2775.296679	2963
805	2775.296679	2963
806	2775.296679	2963
807	2775.665749	2963
808	2775.296679	2963
809	2775.296679	2963
810	2775.296679	2963
811	2775.296679	2963
812	2775.296679	2963
813	2775.296679	2963
814	2775.296679	2963
815	2775.296679	2963
816	2775.296679	2963
817	2775.296679	2963
818	2775.296679	2963
819	2775.296679	2963
820	2775.296679	2963
821	2775.296679	2963
822	2775.296679	2963
823	2775.296679	2963
824	2775.296679	2963
825	2775.296679	2963
826	2775.665749	2963
827	2775.296679	2963
828	2775.296679	2963
829	2775.296679	2963
830	2775.296679	2963
831	2775.296679	2963
832	2775.296679	2963
833	2775.296679	2963
834	2775.296679	2963
835	2775.296679	2963
836	2775.296679	2963
837	2775.296679	2963
838	2775.296679	2963
839	2775.296679	2963
840	2775.296679	2963
841	2775.296679	2963
842	2775.296679	2963
843	2775.296679	2963
844	2775.296679	2963
845	2775.296679	2963
846	2775.296679	2963
847	2775.296679	2963
848	2775.296679	2963
849	2775.296679	2963
850	2775.296679	2963
851	2775.296679	2963
852	2775.296679	2963
853	2775.296679	2963
854	2775.296679	2963
855	2775.296679	2963
856	2775.296679	2963
857	2775.296679	2963
858	2775.296679	2963
859	2775.296679	2963
860	2775.296679	2963
861	2775.296679	2963
862	2775.296679	2963
863	2775.296679	2963
864	2775.296679	2963
865	2775.296679	2963
866	2775.296679	2963
867	2775.296679	2963
868	2775.296679	2963
869	2775.296679	2963
870	2775.296679	2963
871	2775.296679	2963
872	2775.296679	2963
873	2775.296679	2963
874	2775.296679	2963
875	2775.296679	2963
876	2775.296679	2963
877	2775.296679	2963
878	2775.296679	2963
879	2775.296679	2963
880	2775.296679	2963
881	2775.296679	2963
882	2775.296679	2963
883	2775.296679	2963
884	2775.296679	2963
885	2775.296679	2963
886	2775.296679	2963
887	2775.296679	2963
888	2775.296679	2963
889	2775.296679	2963
890	2775.296679	2963
891	2775.296679	2963
892	2775.296679	2963
893	2775.296679	2963
894	2775.296679	2963
895	2775.296679	2963
896	2775.296679	2963
897	2775.296679	2963
898	2775.296679	2963
899	2775.296679	2963
900	2775.296679	2963
901	2775.296679	2963
902	2775.296679	2963
903	2775.296679	2963
904	2775.296679	2963
905	2775.296679	2963
906	2775.296679	2963
907	2775.296679	2963
908	2775.296679	2963
909	2775.296679	2963
910	2775.296679	2963
911	2775.296679	2963
912	2775.296679	2963
913	2774.992972	2963
914	2774.992972	2963
915	2774.992972	2963
916	2775.362042	2963
917	2775.362042	2963
918	2775.362042	2963
919	2775.362042	2963
920	2775.362042	2963
921	2775.362042	2963
922	2775.362042	2963
923	2775.362042	2963
924	2775.362042	2963
925	2775.362042	2963
926	2775.362042	2963
927	2775.362042	2963
928	2775.362042	2963
929	2775.362042	2963
930	2775.362042	2963
931	2775.362042	2963
932	2775.362042	2963
933	2775.362042	2963
934	2775.362042	2963
935	2775.362042	2963
936	2775.362042	2963
937	2775.362042	2963
938	2775.362042	2963
939	2775.362042	2963
940	2775.362042	2963
941	2775.362042	2963
942	2775.362042	2963
943	2775.362042	2963
944	2775.362042	2963
945	2775.362042	2963
946	2775.362042	2963
947	2775.362042	2963
948	2775.362042	2963
949	2775.362042	2963
950	2775.362042	2963
951	2775.362042	2963
952	2775.362042	2963
953	2775.362042	2963
954	2775.362042	2963
955	2775.362042	2963
956	2775.362042	2963
957	2775.362042	2963
958	2775.362042	2963
959	2775.362042	2963
960	2775.362042	2963
961	2775.362042	2963
962	2775.362042	2963
963	2775.362042	2963
964	2775.362042	2963
965	2775.362042	2963
966	2775.362042	2963
967	2775.362042	2963
968	2775.362042	2963
969	2775.362042	2963
970	2775.362042	2963
971	2775.362042	2963
972	2775.362042	2963
973	2775.362042	2963
974	2775.362042	2963
975	2775.362042	2963
976	2775.362042	2963
977	2775.362042	2963
978	2775.362042	2963
979	2775.362042	2963
980	2775.362042	2963
981	2775.362042	2963
982	2775.362042	2963
983	2775.362042	2963
984	2775.362042	2963
985	2775.362042	2963
986	2775.362042	2963
987	2775.362042	2963
988	2775.362042	2963
989	2775.362042	2963
990	2775.362042	2963
991	2775.362042	2963
992	2775.362042	2963
993	2775.362042	2963
994	2775.362042	2963
995	2775.362042	2963
996	2775.362042	2963
997	2775.362042	2963
998	2775.362042	2963
999	2775.362042	2963
1000	2775.362042	2963
1001	2775.362042	2963
1002	2775.362042	2963
1003	2775.362042	2963
1004	2775.362042	2963
1005	2775.362042	2963
1006	2775.362042	2963
1007	2775.362042	2963
1008	2775.362042	2963
1009	2775.362042	2963
1010	2775.362042	2963
1011	2775.362042	2963
1012	2775.362042	2963
1013	2775.362042	2963
1014	2775.362042	2963
1015	2775.362042	2963
1016	2775.362042	2963
1017	2775.362042	2963
1018	2775.362042	2963
1019	2775.362042	2963
1020	2775.362042	2963
1021	2775.362042	2963
1022	2775.362042	2963
1023	2775.362042	2963
1024	2775.362042	2963
1025	2775.362042	2963
1026	2775.362042	2963
1027	2775.362042	2963
1028	2775.362042	2963
1029	2775.362042	2963
1030	2775.362042	2963
1031	2775.362042	2963
1032	2775.362042	2963
1033	2775.362042	2963
1034	2775.362042	2963
1035	2775.362042	2963
1036	2775.362042	2963
1037	2775.362042	2963
1038	2775.362042	2963
1039	2775.362042	2963
1040	2775.362042	2963
1041	2775.362042	2963
1042	2775.362042	2963
1043	2775.362042	2963
1044	2775.362042	2963
1045	2775.362042	2963
1046	2775.362042	2963
1047	2775.362042	2963
1048	2775.362042	2963
1049	2775.362042	2963
1050	2775.362042	2963
1051	2775.362042	2963
1052	2775.362042	2963
1053	2775.362042	2963
1054	2775.362042	2963
1055	2775.362042	2963
1056	2775.362042	2963
1057	2775.362042	2963
1058	2775.362042	2963
1059	2775.362042	2963
1060	2775.362042	2963
1061	2775.362042	2963
1062	2775.362042	2963
1063	2775.362042	2963
1064	2775.362042	2963
1065	2775.362042	2963
1066	2775.362042	2963
1067	2775.362042	2963
1068	2775.362042	2963
1069	2775.362042	2963
1070	2775.362042	2963
1071	2775.362042	2963
1072	2775.362042	2963
1073	2775.362042	2963
1074	2775.362042	2963
1075	2775.362042	2963
1076	2775.362042	2963
1077	2775.362042	2963
1078	2775.362042	2963
1079	2775.362042	2963
1080	2775.362042	2963
1081	2775.362042	2963
1082	2775.362042	2963
1083	2775.362042	2963
1084	2775.362042	2963
1085	2775.362042	2963
1086	2775.362042	2963
1087	2775.362042	2963
1088	2775.362042	2963
1089	2775.362042	2963
1090	2775.362042	2963
1091	2775.362042	2963
1092	2775.362042	2963
1093	2775.362042	2963
1094	2775.362042	2963
1095	2775.362042	2963
1096	2775.362042	2963
1097	2775.362042	2963
1098	2775.362042	2963
1099	2775.362042	2963
1100	2775.362042	2963
1101	2775.362042	2963
1102	2775.362042	2963
1103	2775.362042	2963
1104	2775.362042	2963
1105	2775.362042	2963
1106	2775.362042	2963
1107	2775.362042	2963
1108	2775.362042	2963
1109	2775.362042	2963
1110	2775.362042	2963
1111	2775.731113	2963
1112	2775.731113	2963
1113	2775.731113	2963
1114	2775.731113	2963
1115	2775.731113	2963
1116	2775.731113	2963
1117	2775.731113	2963
1118	2775.731113	2963
1119	2775.731113	2963
1120	2775.731113	2963
1121	2775.731113	2963
1122	2775.731113	2963
1123	2775.731113	2963
1124	2775.731113	2963
1125	2775.731113	2963
1126	2775.731113	2963
1127	2775.731113	2963
1128	2775.731113	2963
1129	2775.731113	2963
1130	2775.731113	2963
1131	2775.731113	2963
1132	2775.731113	2963
1133	2775.731113	2963
1134	2775.731113	2963
1135	2775.731113	2963
1136	2775.731113	2963
1137	2775.731113	2963
1138	2775.731113	2963
1139	2775.362042	2963
1140	2775.362042	2963
1141	2775.362042	2963
1142	2775.731113	2963
1143	2775.731113	2963
1144	2775.731113	2963
1145	2775.731113	2963
1146	2775.731113	2963
1147	2775.731113	2963
1148	2775.731113	2963
1149	2775.731113	2963
1150	2775.731113	2963
1151	2775.731113	2963
1152	2775.731113	2963
1153	2775.731113	2963
1154	2775.731113	2963
1155	2775.731113	2963
1156	2775.731113	2963
1157	2775.731113	2963
1158	2775.731113	2963
1159	2775.731113	2963
1160	2775.731113	2963
1161	2775.731113	2963
1162	2775.731113	2963
1163	2775.731113	2963
1164	2775.731113	2963
1165	2775.731113	2963
1166	2775.731113	2963
1167	2775.731113	2963
1168	2775.731113	2963
1169	2775.731113	2963
1170	2775.731113	2963
1171	2775.731113	2963
1172	2775.731113	2963
1173	2775.731113	2963
1174	2775.731113	2963
1175	2775.731113	2963
1176	2775.731113	2963
1177	2775.731113	2963
1178	2775.731113	2963
1179	2775.731113	2963
1180	2775.731113	2963
1181	2775.731113	2963
1182	2775.731113	2963
1183	2775.731113	2963
1184	2775.731113	2963
1185	2775.731113	2963
1186	2775.731113	2963
1187	2775.731113	2963
1188	2775.731113	2963
1189	2775.731113	2963
1190	2775.731113	2963
1191	2775.731113	2963
1192	2775.731113	2963
1193	2775.731113	2963
1194	2775.731113	2963
1195	2775.731113	2963
1196	2775.731113	2963
1197	2775.731113	2963
1198	2775.731113	2963
1199	2775.731113	2963
1200	2775.731113	2963
1201	2775.731113	2963
1202	2775.731113	2963
1203	2775.731113	2963
1204	2775.731113	2963
1205	2775.731113	2963
1206	2775.731113	2963
1207	2775.731113	2963
1208	2775.731113	2963
1209	2775.731113	2963
1210	2775.731113	2963
1211	2775.731113	2963
1212	2775.731113	2963
1213	2775.731113	2963
1214	2775.731113	2963
1215	2775.731113	2963
1216	2775.731113	2963
1217	2775.731113	2963
1218	2775.731113	2963
1219	2775.731113	2963
1220	2775.731113	2963
1221	2775.731113	2963
1222	2775.731113	2963
1223	2775.731113	2963
1224	2775.731113	2963
1225	2775.731113	2963
1226	2775.731113	2963
1227	2775.731113	2963
1228	2775.731113	2963
1229	2775.731113	2963
1230	2775.731113	2963
1231	2775.731113	2963
1232	2775.731113	2963
1233	2775.731113	2963
1234	2775.731113	2963
1235	2775.731113	2963
1236	2775.731113	2963
1237	2775.731113	2963
1238	2775.731113	2963
1239	2775.731113	2963
1240	2775.731113	2963
1241	2775.731113	2963
1242	2775.731113	2963
1243	2775.731113	2963
