iter	Passed	Remaining
0	157	290823
1	242	224661
2	271	167648
3	289	133962
4	308	114174
5	341	105124
6	365	96390
7	393	90635
8	415	85159
9	439	81071
10	463	77574
11	488	74911
12	509	72092
13	528	69417
14	548	67253
15	571	65591
16	589	63675
17	609	62139
18	627	60618
19	652	59780
20	673	58733
21	693	57743
22	723	57595
23	760	57973
24	794	58129
25	821	57719
26	841	56903
27	902	58826
28	934	58762
29	965	58700
30	994	58436
31	1030	58661
32	1065	58757
33	1095	58599
34	1128	58613
35	1163	58730
36	1195	58691
37	1219	58266
38	1238	57625
39	1264	57308
40	1290	57045
41	1321	57001
42	1343	56537
43	1371	56405
44	1399	56238
45	1430	56196
46	1456	55981
47	1479	55648
48	1504	55389
49	1533	55295
50	1547	54679
51	1563	54157
52	1581	53718
53	1598	53266
