iter	Passed	Remaining
0	1	1292
1	3	1336
2	5	1592
3	7	1544
4	9	1509
5	10	1469
6	12	1459
7	14	1438
8	15	1426
9	17	1416
10	20	1493
11	22	1479
12	23	1446
13	24	1411
14	26	1390
15	27	1364
16	28	1344
17	29	1327
18	31	1314
19	32	1300
20	34	1300
21	36	1329
22	38	1321
23	39	1308
24	40	1295
25	42	1284
26	43	1272
27	44	1261
28	46	1250
29	47	1242
30	48	1234
31	51	1274
32	53	1266
33	54	1255
34	55	1245
35	57	1240
36	58	1233
37	59	1227
38	61	1220
39	62	1214
40	63	1207
41	66	1221
42	71	1282
43	75	1334
44	81	1393
45	83	1400
46	85	1392
47	86	1385
48	89	1396
49	90	1391
50	92	1383
51	93	1374
52	94	1365
53	96	1356
54	101	1404
55	105	1439
56	110	1472
57	116	1521
58	120	1552
59	123	1561
60	128	1591
61	135	1654
62	138	1661
63	143	1687
64	148	1723
65	153	1748
66	158	1772
67	163	1798
68	166	1806
69	171	1827
70	175	1846
71	178	1847
72	181	1845
73	182	1830
74	183	1817
75	184	1803
76	186	1790
77	187	1777
78	188	1764
79	190	1751
80	191	1739
81	193	1733
82	195	1729
83	196	1718
84	200	1724
85	201	1713
86	202	1702
87	204	1691
88	205	1680
89	206	1670
90	207	1658
91	210	1659
92	215	1675
93	216	1668
94	221	1683
95	226	1699
96	228	1693
97	232	1703
98	235	1708
99	239	1719
100	243	1728
101	245	1718
102	246	1708
103	247	1698
104	249	1689
105	250	1679
106	251	1670
107	253	1661
108	254	1652
109	256	1650
110	261	1662
111	266	1674
112	270	1686
113	275	1698
114	276	1688
115	277	1679
116	279	1670
117	282	1670
118	286	1681
119	290	1685
120	291	1676
121	292	1668
122	294	1659
123	295	1650
124	296	1642
125	297	1633
126	299	1625
127	300	1617
128	301	1610
129	305	1612
130	309	1622
131	314	1631
132	318	1640
133	323	1647
134	324	1639
135	325	1631
136	327	1623
137	328	1615
138	329	1607
139	330	1600
140	332	1592
141	333	1585
142	336	1586
143	341	1595
144	345	1602
145	350	1610
146	352	1607
147	354	1601
148	355	1594
149	356	1587
150	358	1579
151	359	1572
152	360	1565
153	361	1558
154	363	1551
155	364	1544
156	366	1540
157	368	1537
158	369	1530
159	371	1523
160	372	1517
161	373	1510
162	374	1504
163	376	1498
164	377	1492
165	378	1485
166	380	1479
167	387	1497
168	392	1506
169	394	1502
170	396	1497
171	398	1496
172	400	1491
173	402	1486
174	403	1481
175	405	1475
176	406	1469
177	407	1464
178	409	1458
179	410	1453
180	411	1447
181	413	1444
182	415	1438
183	416	1433
184	417	1427
185	419	1422
186	420	1416
187	421	1411
188	422	1405
189	424	1400
190	426	1396
191	429	1397
192	433	1402
193	438	1407
194	442	1412
