iter	Passed	Remaining
0	17	32147
1	32	30167
2	47	29217
3	64	29806
4	82	30471
5	103	31753
6	119	31507
7	136	31557
8	162	33292
9	178	32987
10	201	33719
11	219	33712
12	240	33977
13	265	34915
14	290	35631
15	321	36873
16	373	40344
17	401	40979
18	442	42732
19	471	43179
20	488	42589
21	509	42384
22	526	41930
23	545	41564
24	564	41243
25	580	40819
26	598	40501
27	617	40234
28	633	39852
29	648	39391
30	668	39311
31	685	38994
32	702	38723
33	724	38740
34	742	38588
35	761	38413
36	788	38692
37	834	39859
38	854	39729
39	884	40084
40	913	40376
41	950	40993
42	1015	42758
43	1035	42573
44	1053	42309
45	1077	42314
46	1098	42207
47	1113	41890
48	1132	41696
49	1149	41449
50	1167	41240
51	1185	41049
52	1208	41043
53	1234	41120
54	1258	41138
55	1275	40943
56	1293	40745
57	1311	40581
58	1331	40485
59	1354	40466
